ticketid,eventid,asurite
1,6,rehender
2,5,rehender
3,4,ashall
4,5,ashall
5,5,raross
6,4,raross
7,6,raross
8,4,jobarnes
9,2,jobarnes
10,6,larobins
11,3,kecook
12,2,kecook
13,6,roevans
14,2,roevans
15,6,jatorres
16,3,jatorres
17,5,jatorres
18,2,jaflores
19,3,jaflores
20,1,stcooper
21,2,keanders
22,3,keanders
23,4,keanders
24,6,basanche
25,2,basanche
26,6,edbrown
27,3,edbrown
28,5,edbrown
29,2,scwalker
30,3,scwalker
31,1,scwalker
32,1,anharris
33,3,anharris
34,2,anharris
35,5,brcampbe
36,6,brcampbe
37,4,rorobert
38,3,rorobert
39,1,jayoung
40,6,jayoung
41,5,jayoung
42,1,jogutier
43,2,jogutier
44,4,jogutier
45,1,grking
46,3,parivera
47,2,parivera
48,4,parivera
49,2,gemorgan
50,2,chrobert
51,5,chrobert
52,3,nianders
53,5,kijames
54,4,amedward
55,3,amedward
56,1,amedward
57,1,pajenkin
58,2,pajenkin
59,5,donguyen
60,6,donguyen
61,2,donguyen
62,2,jemitche
63,6,jemitche
64,5,derichar
65,6,kibaker
66,4,kibaker
67,2,kabailey
68,3,kabailey
69,6,kabailey
70,3,sakelly
71,1,sakelly
72,2,sakelly
73,3,henguyen
74,2,henguyen
75,3,making
76,4,making
77,5,marivera
78,6,najones
79,5,najones
80,6,sagonzal
81,3,sagonzal
82,5,sagonzal
83,3,rywhite
84,6,rywhite
85,4,mibennet
86,2,mibennet
87,6,mibennet
88,3,shhill
89,1,asparker
90,6,stsanche
91,2,stsanche
92,6,chcooper
93,4,chcooper
94,1,chcooper
95,6,miking
96,3,miking
97,2,ragreen
98,1,amsmith
99,4,amsmith
100,1,dediaz
101,3,dediaz
102,6,jelewis
103,6,cajones
104,5,cajones
105,3,cajones
106,2,ashill
107,3,ashill
108,3,rethomas
109,5,raramire
110,2,raramire
111,3,raramire
112,6,lilewis
113,3,ricruz
114,2,ricruz
115,1,ricruz
116,2,japhilli
117,1,japhilli
118,6,japhilli
119,3,cymurphy
120,6,cymurphy
121,5,cymurphy
122,5,liedward
123,3,liedward
124,2,liedward
125,1,miphilli
126,2,miphilli
127,5,remorgan
128,4,remorgan
129,1,dobarnes
130,3,chbrooks
131,1,chbrooks
132,2,chbrooks
133,5,bephilli
134,4,bephilli
135,5,sascott
136,4,sascott
137,1,sascott
138,5,anrussel
139,3,anrussel
140,5,jogomez
141,4,maortiz
142,6,maortiz
143,3,maortiz
144,2,jaclark
145,5,jaclark
146,1,jaclark
147,5,anrivera
148,4,anrivera
149,1,anrivera
150,3,amwright
151,2,amwright
152,6,amwright
153,2,jajenkin
154,1,jajenkin
155,4,lipowell
156,2,lipowell
157,6,lipowell
158,5,melong
159,5,jeturner
160,4,juwalker
161,1,juwalker
162,6,juwalker
163,4,jajackso
164,2,brgutier
165,3,shyoung
166,3,nimorris
167,5,nimorris
168,1,nimorris
169,1,paward
170,4,chgomez
171,6,stlopez
172,4,jomartin
173,5,jomartin
174,2,jomartin
175,3,jobrooks
176,1,jobrooks
177,6,brlopez
178,2,brlopez
179,3,brlopez
180,4,emlee
181,2,rebrown
182,5,chevans
183,3,chevans
184,4,chevans
185,6,degomez
186,5,chhill
187,3,bryoung
188,3,pajames
189,4,pajames
190,4,gajames
191,1,gajames
192,1,jahoward
193,5,jahoward
194,5,canguyen
195,4,canguyen
196,2,dalewis
197,1,jelong
198,2,kisulliv
199,4,kisulliv
200,5,kisulliv
201,2,kahughes
202,4,kahughes
203,4,heking
